Host   Node   Slot  Product  Version   Location
    2  10235   1       MSRV  103.03    CLEVELAND,OH
    3  10237   1       MSRV  103.03    CLEVELAND,OH
    7   3210   3       XCOM  104.03    JACKSONVILLE,FL
    8  11651   2       XCOM  104.03    TAMPA,FL
    9  12311   0        TII  105.35    BATON ROUGE,LA
    9  12311  FF       I2IS    7.03    BATON ROUGE,LA
   12   4752   2    UNREPOR    2.04    FRANKFORT,IN
   14   6760  FF       MSAT    0.00    SAN JOSE,CA
   15   6760  FF       MSAT    0.00    SAN JOSE,CA
   16   6657  FF       MSAT    0.00    SAN JOSE,CA
   17   6657  FF       MSAT    0.00    SAN JOSE,CA
   18   5213   2    UNREPOR    2.04    GREENSBURG,IN
   20   7353  FF       I2IS    7.04    SILVER SPRING,MD
   20   7353   0        TII  105.22    SILVER SPRING,MD
   23   3374   1       EBUS    2.00    FREMONT,CA
   24   7353   1       ACOM    2.03    SILVER SPRING,MD
   25   4344   1       XCOM    0.00    FREMONT,CA
   25   3713   1       XCOM    0.00    FREMONT,CA
   25   3212   1       XCOM    0.00    FREMONT,CA
   26  10350   1       EBUS    0.00    FREMONT,CA
   28   7415   0        TII  105.35    PHOENIX,AZ
   28   7415  FF       I2IS    7.03    PHOENIX,AZ
   30   6721   1       EBUS    2.00    FREMONT,CA
   32   6415   1       EBUS    0.00    FREMONT,CA
   33   2333   1       EBUS    0.00    FREMONT,CA
   34   7004   1       EBUS    2.00    FREMONT,CA
   35  11673   2    UNREPOR    2.04    GREENVILLE,MI
   36  11715  FF       I2IS    7.03    PHOENIX,AZ
   36  11715   0        TII  105.35    PHOENIX,AZ
   38   6720   1       EBUS    2.00    FREMONT,CA
   40  11772   1    UNREPOR    0.00    FREMONT,CA
   40   2305   1    UNREPOR    1.04    FREMONT,CA
   43   6154   2    UNREPOR    1.04    FREMONT,CA
   43   2011   1    UNREPOR    0.00    FREMONT,CA
   44  12657   1        LEM    2.00    HAZELWOOD,MO
   44  12656   2        LEM    2.00    HAZELWOOD,MO
   45   5434  FF       I2IS    7.03    KANSAS CITY,MO
   45   5434   0        TII  105.22    KANSAS CITY,MO
   46   5434   1       SNAH    5.05    KANSAS CITY,MO
   47  12656   1        LEM    1.05    HAZELWOOD,MO
   50   2335   1       ACOM    3.01    BETHESDA,MD
   52   2522   2    UNREPOR    1.04    ST.-CLOUD,
   52   2523   2    UNREPOR    1.04    ST.-CLOUD,
   53   3355  FF       I2IS    7.03    NEW ORLEANS,LA
   53   3355   0        TII  105.35    NEW ORLEANS,LA
   54  11757   2       XCOM    0.00    NORRISTOWN,PA
   54  11756   2       XCOM    0.00    NORRISTOWN,PA
   55  12312   0        TII  105.22    BATON ROUGE,LA
   55  12312  FF       I2IS    7.03    BATON ROUGE,LA
   56   7021   1       EBUS    2.00    FREMONT,CA
   61   2011   2       XCOM    0.00    FREMONT,CA
   62   2500   5       XCOM  104.03    SAN JOSE,CA
   64   2176   1       XCOM  104.03    LAKE SUCCESS,NY
   67   2176   1       XCOM  104.03    LAKE SUCCESS,NY
   69   7300   1       XCOM  104.03    LAKE SUCCESS,NY
   70   7300   1       XCOM  104.03    LAKE SUCCESS,NY
   71   7705   2       XCOM  104.03    MIAMI,FL
   72   7300   1       XCOM  104.03    LAKE SUCCESS,NY
   74   6722   1       EBUS    2.00    FREMONT,CA
Host   Node   Slot  Product  Version   Location
   76  11354   1       XCOM  104.03    LAKE SUCCESS,NY
