DS                  DS: 10 TRIBES                             1   1
DS                  DS: PYRAMID                               11786
DS                  DS: PYRAMID                               12909
DS                  DS: EZRA                                  12960
DS                  DS: TILL I COME                           13976
DS                  DS: PYRAMID                               14029
DS                  DS: TEMPLE AND JESUS CHRIST               14988
MOVIE               MOVIE: RUN SILENT-RUN DEEP                2   1
MOVIE               MOVIE: SEVEN DAYS IN MAY                  22159
WWII                WWII: D-DAY AND IKE (CBS REPORTS)         23833
WWII                WWII: D-DAY INVASION (NIGHTLINE)          24375
MOVIE               MOVIE: DR. MUDD                           24753
STAR TREK           STAR TREK: MIRROR-MIRROR                  24845
NCAA                NCAA: 1987 FINAL-INDY VS SYRACUSE         25335
DS                  DS: POWER OF GOD                          3   1
DS                  DS: TEMPLARS                              3 249
DS                  DS: LAST DAYS                             31734
DS                  DS: RESURRECTION                          32984
DS                  DS: FERMAMENT                             33685
DS                  DS: POWER OF GOD                          34752
DS                  DS: JESUS AND BRITIAN                     34962
DS                  DS: PYRAMID                               35152
NBA                 NBA: 1985 CHAMP 7-LA AT BOSTON            4   1
MOVIE               MOVIE: DRACULA                            42754
PRES POLITICS       PRES POLITICS: TV AND THE PRESIDENCY      44102
LINCOLN ASS         LINCOLN ASS: THEY'VE KILLED THE PRES.     45335
MOVIE               MOVIE: LONELY ARE THE BRAVE               5   1
MOVIE               MOVIE: 1776                               52090
SPACE               SPACE: NASA-1ST 25 YEARS (NOVA)           54619
STAR TREK           STAR TREK: WAY TO EDEN                    55267
MOVIE               MOVIE: CRACK IN THE WORLD                 6   1
MOVIE               MOVIE: CHANGLING                          61744
MOVIE               MOVIE: HAUNTING PASSION                   63364
STAR TREK           STAR TREK: AMOK TIME                      64617
CARTOON             CARTOON: GREAT PUMKIN CHARLIE BROWN       65138
CULTS               CULTS: UNIVERSALISM (AM SF)               65440
HISTORY             HISTORY: NUCLEAR STRATEGY (NOVA)          7   1
MOVIE               MOVIE: GRAY LADY DOWN                     71455
MOVIE               MOVIE: HANGER 18                          73104
DS                  DS: DR. SCOTT INTERVIEW                   74437
STAR TREK           STAR TREK: BREAD AND CIRCUSES             74514
STAR TREK           STAR TREK: ASSIGNMENT EARTH               75040
MUSIC               MUSIC: JUDY GARLAND                       8   1
STAR TREK           STAR TREK: PARADISE SYNDROME              82342
F-POLICY            F-POLICY: MORALITY OF US/USSR FP'S        83069
STAR TREK           STAR TREK: THOLIAN WEB                    83884
CONSTITUTION        CONSTITUTION: WAR POWERS ACT              84459
CARTOON             CARTOON: GARFIELD ON VACATION             85122
CULTS               CULTS: UNIVERSALISM                       85383
MUSIC               MUSIC: THEME FROM ELLERY QUEEN            85602
MUSIC               MUSIC: TONY BENNET AND BOSTON POPS        9   1
NFL                 NFL: 1984 WASHINGTON AT SF                9 917
PRES POLITICS       PRES POLITICS: FERRARO VS BUSH            94339
MOVIES              MOVIES: COMING ATTRACTIONS                95343
GOLDEN GATE         GG BRIDGE: SPAN OF GOLD                   95514
DS                  DS: HISTORICAL SUMMARY                   10   1
DS                  DS: RUSSIAN ORGINS                       101437
DS                  DS: NEPHATI                              102882
DS                  DS: HITLER AND SPEAR OF DESTINY          103632
RELIGION            RELIGION: WORLD RELIGIONS (BUCKLEY)      104592
DS                  DS: RUSSIA AND BABYLON                   105153
DS                  DS: EYGPTIAN ORIGINS                     11   1
DS                  DS: STORY OF JACOB                       111923
DS                  DS: GOSPEL IN THE STARS                  112975
DS                  DS: IRELAND'S ORIGINS                    114049
DS                  DS: CONNECTION-EYGPT/BRITIAN/IRELAND     114834
DS                  DS: GIDEON                               115217
STAR TREK           STAR TREK: PATTERNS OF FORCE             12   1
NCAA                NCAA: 1986 FINAL-DUKE VS LOUISVILLE      121154
CIVIL AND THE JEWS  CIVIL AND THE JEWS: INTO THE FUTURE      122021
STAR TREK           STAR TREK: REQUIEM FOR MATHUSALEH        122988
STAR TREK           STAR TREK: BALANCE OF TERROR             123614
BATTLESTAR          BATTLESTAR: LIVING LEGEND                124307
MUSIC               MUSIC: KATE SMITH-GOD BLESS AMERICA      125418
CULTS               CULTS: CHANNELING                        125477
MOVIE               MOVIE: KING AND I                        13   1
MOVIE               MOVIE: CASABLANCA                        133130
STAR TREK           STAR TREK: TASTE OF ARMAGEDDON           134640
STAR TREK           STAR TREK: CITY ON THE EDGE OF FOREVER   135129
MOVIE               MOVIE: DIRTY HARRY                       14   1
CONSTITUTION        CONSTITUTION: RIGHT TO KNOW VS DEFENSE   141620
MOVIE               MOVIE: DAY THE EARTH STOOD STILL         142641
CONSTITUTION        CONSTITUTION: RIGHT TO LIFE              144149
EVOLUTION           EVOLUTION: CREATION OF UNIVERSE          144853
MOVIE               MOVIE: FROM RUSSIA WITH LOVE             15   1
NFL                 NFL: 1989 PLAY-VIKINGS AT 49ERS          152554
HISTORY             HISTORY: MCLAUGHLIN AND THE 1990'S       154667
HISTORY             HISTORY: KISSINGER INTERVIEW (12/89)     155317
RFK ASS             RFK ASS: RFK KILLING (UNSOLVED MYSTERY)  155605
DS                  DS: JONAH                                16   1
DS                  DS: JEREMIAH AND LOST TRIBES             161409
DS                  DS: XMAS MESSAGE                         163990
RELIGION            RELIGION: FUNDALMENTALIST ANONYMOUS      164681
CULTS               CULTS: RAMTHA                            165361
RELIGION            RELIGION: JIMMY SWAGGART SCANDAL         165696
MUSIC               MUSIC: AMY GRANT CHRISMAS                165720
MOVIE               MOVIE: HAUNTING                          17   1
NFL                 NFL: 1984 NFC CHAMP-CHICAGO AT SF        172216
MOVIE               MOVIE: FORBEN PROJECT                    174349
MLB                 MLB: 1987 NL PLAYOFF PREVIEW             175438
MOVIE               MOVIE: UNDEBT                            175680
MUSIC VIDEO         MUSIC VIDEO: MONSTERS                    175737
MOVIE               MOVIE: SUPERMAN                          18   1
MOVIE               MOVIE: HOLOCAUST 2000                    182991
MOVIE               MOVIE: SHENANDOAH                        184286
WWII                WWII: PATTON-MAN BEHIND THE MYTH         185415
MUSIC VIDEO         MUSIC VIDEO: ANYTHING FOR YOU            185720
MUSIC VIDEO         MUSIC VIDEO: CHANGING LOVE               185755
PRES POLITICS       PRES POLITICS: INAUGURAL 1985            19   1
NFL                 NFL: 1985 SB 19 - MIAMI VS SF            19 628
ABORTION            ABORTION (20/20)                         193440
MUSIC               MUSIC: TONY TENILLE/JOHN MATHSIS         193869
MUSIC               MUSIC: SHENNA EASTON                     193952
MOVIE               MOVIE: KING OF KINGS                     193988
STAR TREK           STAR TREK: RETROSPECTIVE                 195236
MOVIE               MOVIE: KING OF KINGS PT. 2               20   1
MOVIE               MOVIE: THAT'S ENTERTAINMENT              201788
MOVIE               MOVIE: YOU ONLY LIVE TWICE               203698
STAR TREK           STAR TREK: ALTERNATIVE FACTOR            205123
HISTORY             HISTORY: CHERNENKO FUNERAL               205603
MOVIE               MOVIE: PETER AND PAUL                    21   1
MOVIE               MOVIE: ROBE                              212143
CULTS               CULTS: SATAN WORSHIP (20/20)             213936
RELIGION            RELIGION: TV EVANGELISTS (60 MINS)       214259
WWII                WWII: TWISTED CROSS                      214439
MUSIC               MUSIC: JOHNNY MATHIS CONCERT             215061
MOVIE               MOVIE: STAR TREK 2-WRATH OF KAHN         22   1
MOVIE               MOVIE: ON THE BEACH                      222602
STAR TREK           STAR TREK: ENTERPRIZE INCIDENT           224721
STAR TREK           STAR TREK: NAKED TIME                    225297
MOVIE               MOVIE: PATTON                            23   1
NBA                 NBA: 1985 CHAMP 4-BOSTON AT LA           233536
MOVIE               MOVIE: SILENT SCREAM AND COMMENT         235164
DS                  DS:                                      24   1
SERMONS             SERMONS: SWAGGART-GOD'S GLORY IN JC      241247
SERMONS             SERMONS: GRAHAM-JUST SAY NO              241970
SERMONS             SERMONS: GRAHAM-DECISION TIME            242976
DS                  DS: EMPIRES AND THE ANTI-CHRIST          243857
RELIGION            RELIGION: WORSHIPPING EVIL (WINFREY)     244582
SERMONS             SERMONS: GRAHAM-LOVING FATHER            245266
SERMONS             SERMONS: GRAHAM-FACING THE CROSS         245578
MOVIE               MOVIE: MAROONED                          25   1
MOVIE               MOVIE: ROOSTER COGBURN                   252979
LOST IN SPACE       LOST IN SPACE                            254256
LOST IN SPACE       LOST IN SPACE                            254903
LOST IN SPACE       LOST IN SPACE                            254975
LOST IN SPACE       LOST IN SPACE                            255080
LOST IN SPACE       LOST IN SPACE                            255665
MOVIE               MOVIE: STAR TREK 3-SEARCH FOR SPOCK      26   1
MOVIES              MOVIES: BLOOPERS                         262385
MOVIE               MOVIE: SAME TIME NEXT YEAR               262458
MOVIE               MOVIE: HARDWARE WARS                     264153
MOVIE               MOVIE: BAMBI VS GODZILLA                 264318
MOVIE               MOVIE: CLOSE ENC OF THE NERD KIND        264340
BOXING              BOXING: HAGLER VS HEARNS                 264493
NFL                 NFL: 1981 GREAT MOMENTS-SD AT MAIMI      264636
NFL                 NFL: 1981 GREAT MOMENTS-DALLAS AT SF     264911
SPACE               SPACE: CHALLENGER DISASTER (NIGHTLINE)   265120
SPACE               SPACE: CHALLENGER FOLLOWUP (NEWS)        265740
ICE SKATING         ICE SKATING                              27   1
DEBATE              DEBATE: OXFORD-MORALITY OF NUKES         27 146
SERMONS             SERMONS: GRAHAM                          271545
STAR TREK           STAR TREK: ERRAND OF MERCY               272622
MOVIE               MOVIE: GOLDFINGER                        273291
STAR TREK           STAR TREK: TROUBLE WITH TRIBBLES         274712
STAR TREK           STAR TREK: DOOMSDAY MACHINE              275204
MOVIE               MOVIE: DIAMONDS ARE FOREVER              28   1
BIOGRAPHY           BIOGRAPHY: MARTIN LUTHER KING            282573
STAR TREK           STAR TREK: JOURNEY TO BABEL              284124
