DS                   DS: 10 TRIBES                              1    1
DS                   DS: PYRAMID                                1 1786
DS                   DS: PYRAMID                                1 2909
DS                   DS: EZRA                                   1 2960
DS                   DS: TILL I COME                            1 3976
DS                   DS: PYRAMID                                1 4029
DS                   DS: TEMPLE AND JESUS CHRIST                1 4988
MOVIE                MOVIE: RUN SILENT-RUN DEEP                 2    1
MOVIE                MOVIE: SEVEN DAYS IN MAY                   2 2159
WWII                 WWII: D-DAY AND IKE (CBS REPORTS)          2 3833
WWII                 WWII: D-DAY INVASION (NIGHTLINE)           2 4375
MOVIE                MOVIE: DR. MUDD                            2 4753
STAR TREK            STAR TREK: MIRROR-MIRROR                   2 4845
NCAA                 NCAA: 1987 FINAL-INDY VS SYRACUSE          2 5335
DS                   DS: POWER OF GOD                           3    1
DS                   DS: TEMPLARS                               3  249
DS                   DS: LAST DAYS                              3 1734
DS                   DS: RESURRECTION                           3 2984
DS                   DS: FERMAMENT                              3 3685
DS                   DS: POWER OF GOD                           3 4752
DS                   DS: JESUS AND BRITIAN                      3 4962
DS                   DS: PYRAMID                                3 5152
NBA                  NBA: 1985 CHAMP 7-LA AT BOSTON             4    1
MOVIE                MOVIE: DRACULA                             4 2754
PRES POLITICS        PRES POLITICS: TV AND THE PRESIDENCY       4 4102
LINCOLN ASS          LINCOLN ASS: THEY'VE KILLED THE PRES.      4 5335
MOVIE                MOVIE: LONELY ARE THE BRAVE                5    1
MOVIE                MOVIE: 1776                                5 2090
SPACE                SPACE: NASA-1ST 25 YEARS (NOVA)            5 4619
STAR TREK            STAR TREK: WAY TO EDEN                     5 5267
MOVIE                MOVIE: CRACK IN THE WORLD                  6    1
MOVIE                MOVIE: CHANGLING                           6 1744
MOVIE                MOVIE: HAUNTING PASSION                    6 3364
STAR TREK            STAR TREK: AMOK TIME                       6 4617
CARTOON              CARTOON: GREAT PUMKIN CHARLIE BROWN        6 5138
CULTS                CULTS: UNIVERSALISM (AM SF)                6 5440
HISTORY              HISTORY: NUCLEAR STRATEGY (NOVA)           7    1
MOVIE                MOVIE: GRAY LADY DOWN                      7 1455
MOVIE                MOVIE: HANGER 18                           7 3104
DS                   DS: DR. SCOTT INTERVIEW                    7 4437
STAR TREK            STAR TREK: BREAD AND CIRCUSES              7 4514
STAR TREK            STAR TREK: ASSIGNMENT EARTH                7 5040
MUSIC                MUSIC: JUDY GARLAND                        8    1
STAR TREK            STAR TREK: PARADISE SYNDROME               8 2342
F-POLICY             F-POLICY: MORALITY OF US/USSR FP'S         8 3069
STAR TREK            STAR TREK: THOLIAN WEB                     8 3884
CONSTITUTION         CONSTITUTION: WAR POWERS ACT               8 4459
CARTOON              CARTOON: GARFIELD ON VACATION              8 5122
CULTS                CULTS: UNIVERSALISM                        8 5383
MUSIC                MUSIC: THEME FROM ELLERY QUEEN             8 5602
MUSIC                MUSIC: TONY BENNET AND BOSTON POPS         9    1
NFL                  NFL: 1984 WASHINGTON AT SF                 9  917
PRES POLITICS        PRES POLITICS: FERRARO VS BUSH             9 4339
MOVIES               MOVIES: COMING ATTRACTIONS                 9 5343
GOLDEN GATE          GG BRIDGE: SPAN OF GOLD                    9 5514
DS                   DS: HISTORICAL SUMMARY                    10    1
DS                   DS: RUSSIAN ORGINS                        10 1437
DS                   DS: NEPHATI                               10 2882
DS                   DS: HITLER AND SPEAR OF DESTINY           10 3632
RELIGION             RELIGION: WORLD RELIGIONS (BUCKLEY)       10 4592
DS                   DS: RUSSIA AND BABYLON                    10 5153
DS                   DS: EYGPTIAN ORIGINS                      11    1
DS                   DS: STORY OF JACOB                        11 1923
DS                   DS: GOSPEL IN THE STARS                   11 2975
DS                   DS: IRELAND'S ORIGINS                     11 4049
DS                   DS: CONNECTION-EYGPT/BRITIAN/IRELAND      11 4834
DS                   DS: GIDEON                                11 5217
STAR TREK            STAR TREK: PATTERNS OF FORCE              12    1
NCAA                 NCAA: 1986 FINAL-DUKE VS LOUISVILLE       12 1154
CIVIL AND THE JEWS   CIVIL AND THE JEWS: INTO THE FUTURE       12 2021
STAR TREK            STAR TREK: REQUIEM FOR MATHUSALEH         12 2988
STAR TREK            STAR TREK: BALANCE OF TERROR              12 3614
BATTLESTAR           BATTLESTAR: LIVING LEGEND                 12 4307
MUSIC                MUSIC: KATE SMITH-GOD BLESS AMERICA       12 5418
CULTS                CULTS: CHANNELING                         12 5477
MOVIE                MOVIE: KING AND I                         13    1
MOVIE                MOVIE: CASABLANCA                         13 3130
STAR TREK            STAR TREK: TASTE OF ARMAGEDDON            13 4640
STAR TREK            STAR TREK: CITY ON THE EDGE OF FOREVER    13 5129
MOVIE                MOVIE: DIRTY HARRY                        14    1
CONSTITUTION         CONSTITUTION: RIGHT TO KNOW VS DEFENSE    14 1620
MOVIE                MOVIE: DAY THE EARTH STOOD STILL          14 2641
CONSTITUTION         CONSTITUTION: RIGHT TO LIFE               14 4149
EVOLUTION            EVOLUTION: CREATION OF UNIVERSE           14 4853
MOVIE                MOVIE: FROM RUSSIA WITH LOVE              15    1
NFL                  NFL: 1989 PLAY-VIKINGS AT 49ERS           15 2554
HISTORY              HISTORY: MCLAUGHLIN AND THE 1990'S        15 4667
HISTORY              HISTORY: KISSINGER INTERVIEW (12/89)      15 5317
RFK ASS              RFK ASS: RFK KILLING (UNSOLVED MYSTERY)   15 5605
DS                   DS: JONAH                                 16    1
DS                   DS: JEREMIAH AND LOST TRIBES              16 1409
DS                   DS: XMAS MESSAGE                          16 3990
RELIGION             RELIGION: FUNDALMENTALIST ANONYMOUS       16 4681
CULTS                CULTS: RAMTHA                             16 5361
RELIGION             RELIGION: JIMMY SWAGGART SCANDAL          16 5696
MUSIC                MUSIC: AMY GRANT CHRISMAS                 16 5720
MOVIE                MOVIE: HAUNTING                           17    1
NFL                  NFL: 1984 NFC CHAMP-CHICAGO AT SF         17 2216
MOVIE                MOVIE: FORBEN PROJECT                     17 4349
MLB                  MLB: 1987 NL PLAYOFF PREVIEW              17 5438
MOVIE                MOVIE: UNDEBT                             17 5680
MUSIC VIDEO          MUSIC VIDEO: MONSTERS                     17 5737
MOVIE                MOVIE: SUPERMAN                           18    1
MOVIE                MOVIE: HOLOCAUST 2000                     18 2991
MOVIE                MOVIE: SHENANDOAH                         18 4286
WWII                 WWII: PATTON-MAN BEHIND THE MYTH          18 5415
MUSIC VIDEO          MUSIC VIDEO: ANYTHING FOR YOU             18 5720
MUSIC VIDEO          MUSIC VIDEO: CHANGING LOVE                18 5755
PRES POLITICS        PRES POLITICS: INAUGURAL 1985             19    1
NFL                  NFL: 1985 SB 19 - MIAMI VS SF             19  628
ABORTION             ABORTION (20/20)                          19 3440
MUSIC                MUSIC: TONY TENILLE/JOHN MATHSIS          19 3869
MUSIC                MUSIC: SHENNA EASTON                      19 3952
MOVIE                MOVIE: KING OF KINGS                      19 3988
STAR TREK            STAR TREK: RETROSPECTIVE                  19 5236
MOVIE                MOVIE: KING OF KINGS PT. 2                20    1
MOVIE                MOVIE: THAT'S ENTERTAINMENT               20 1788
MOVIE                MOVIE: YOU ONLY LIVE TWICE                20 3698
STAR TREK            STAR TREK: ALTERNATIVE FACTOR             20 5123
HISTORY              HISTORY: CHERNENKO FUNERAL                20 5603
MOVIE                MOVIE: PETER AND PAUL                     21    1
MOVIE                MOVIE: ROBE                               21 2143
CULTS                CULTS: SATAN WORSHIP (20/20)              21 3936
RELIGION             RELIGION: TV EVANGELISTS (60 MINS)        21 4259
WWII                 WWII: TWISTED CROSS                       21 4439
MUSIC                MUSIC: JOHNNY MATHIS CONCERT              21 5061
MOVIE                MOVIE: STAR TREK 2-WRATH OF KAHN          22    1
MOVIE                MOVIE: ON THE BEACH                       22 2602
STAR TREK            STAR TREK: ENTERPRIZE INCIDENT            22 4721
STAR TREK            STAR TREK: NAKED TIME                     22 5297
MOVIE                MOVIE: PATTON                             23    1
NBA                  NBA: 1985 CHAMP 4-BOSTON AT LA            23 3536
MOVIE                MOVIE: SILENT SCREAM AND COMMENT          23 5164
DS                   DS:                                       24    1
SERMONS              SERMONS: SWAGGART-GOD'S GLORY IN JC       24 1247
SERMONS              SERMONS: GRAHAM-JUST SAY NO               24 1970
SERMONS              SERMONS: GRAHAM-DECISION TIME             24 2976
DS                   DS: EMPIRES AND THE ANTI-CHRIST           24 3857
RELIGION             RELIGION: WORSHIPPING EVIL (WINFREY)      24 4582
SERMONS              SERMONS: GRAHAM-LOVING FATHER             24 5266
SERMONS              SERMONS: GRAHAM-FACING THE CROSS          24 5578
MOVIE                MOVIE: MAROONED                           25    1
MOVIE                MOVIE: ROOSTER COGBURN                    25 2979
LOST IN SPACE        LOST IN SPACE                             25 4256
LOST IN SPACE        LOST IN SPACE                             25 4903
LOST IN SPACE        LOST IN SPACE                             25 4975
LOST IN SPACE        LOST IN SPACE                             25 5080
LOST IN SPACE        LOST IN SPACE                             25 5665
MOVIE                MOVIE: STAR TREK 3-SEARCH FOR SPOCK       26    1
MOVIES               MOVIES: BLOOPERS                          26 2385
MOVIE                MOVIE: SAME TIME NEXT YEAR                26 2458
MOVIE                MOVIE: HARDWARE WARS                      26 4153
MOVIE                MOVIE: BAMBI VS GODZILLA                  26 4318
MOVIE                MOVIE: CLOSE ENC OF THE NERD KIND         26 4340
BOXING               BOXING: HAGLER VS HEARNS                  26 4493
NFL                  NFL: 1981 GREAT MOMENTS-SD AT MAIMI       26 4636
NFL                  NFL: 1981 GREAT MOMENTS-DALLAS AT SF      26 4911
SPACE                SPACE: CHALLENGER DISASTER (NIGHTLINE)    26 5120
SPACE                SPACE: CHALLENGER FOLLOWUP (NEWS)         26 5740
ICE SKATING          ICE SKATING                               27    1
